date,entry_time,spot_price,atm,ce_strike,pe_strike,expiry,entry_ce,entry_pe,exit_time,exit_spot_price,exit_ce,exit_pe,exit_reason,pnl
2025-07-29,2025-07-29 09:15:00,24924.4,24900,25000,24800,2025-07-31,21.15,187.45,2025-07-29 09:17:00,24677.5,23.2,176.05,SL,-9.349999999999977
2025-07-30,2025-07-30 09:15:00,24820.0,24800,24900,24700,2025-07-31,43.75,30.05,2025-07-30 09:23:00,24926.5,46.1,25.75,SL,-1.9499999999999993
2025-07-31,2025-07-31 09:15:00,24783.8,24800,24900,24700,2025-08-07,80.0,153.45,2025-07-31 09:25:00,24691.6,87.05,156.6,Target,10.200000000000003
2025-08-01,2025-08-01 09:15:00,25039.4,25050,25150,24950,2025-08-07,25.0,291.35,2025-08-01 09:20:00,24944.9,29.3,279.6,SL,-7.449999999999999
2025-08-04,2025-08-04 09:15:00,24686.2,24700,24800,24600,2025-08-07,67.9,123.85,2025-08-04 09:18:00,24958.0,71.15,114.0,SL,-6.599999999999994
2025-08-05,2025-08-05 09:15:00,25030.0,25050,25150,24950,2025-08-07,9.1,267.7,2025-08-05 09:25:00,24987.4,7.05,290.8,Target,21.050000000000022
2025-08-06,2025-08-06 09:15:00,24959.4,24950,25050,24850,2025-08-07,5.1,229.0,2025-08-06 09:17:00,24715.0,5.2,219.65,SL,-9.249999999999993
2025-08-07,2025-08-07 09:15:00,24827.6,24850,24950,24750,2025-08-14,25.0,283.15,2025-08-07 09:25:00,24580.6,24.55,274.8,SL,-8.799999999999965
2025-08-08,2025-08-08 09:15:00,24643.0,24650,24750,24550,2025-08-14,68.0,104.55,2025-08-08 09:25:00,24870.0,63.85,114.5,Target,5.800000000000004
2025-08-11,2025-08-11 09:15:00,24671.1,24650,24750,24550,2025-08-14,22.4,227.1,2025-08-11 09:16:00,24700.0,25.05,212.8,SL,-11.64999999999998
2025-08-12,2025-08-12 09:15:00,24739.9,24750,24850,24650,2025-08-14,16.5,147.25,2025-08-12 09:16:00,24867.0,18.6,134.8,SL,-10.349999999999987
2025-08-13,2025-08-13 09:15:00,24881.4,24900,25000,24800,2025-08-14,3.55,218.2,2025-08-13 09:16:00,24790.0,3.95,206.75,SL,-11.049999999999988
